+--------+--------+--------+---------------------+---------+-------------+
| slot1  | slot2  | slot3  |       outcome       | created | occurrences |
|  pall  | prizm  |  pall  |  0.3333333333333333 |    61   |    (61,)    |
|  tri   | square | blank  |  0.3333333333333333 |    62   |    (62,)    |
| blank  |  pall  | prizm  |         0.2         |    63   |    (63,)    |
|  tri   | prizm  |  tri   |         0.2         |    64   |    (64,)    |
| blank  | trape  | square | 0.14285714285714285 |    65   |    (65,)    |
| blank  | square | prizm  |         0.2         |    66   |    (66,)    |
| square | square | prizm  |         0.2         |    67   |    (67,)    |
|  pall  |  tri   | square |         0.2         |    68   |    (68,)    |
|  pall  | trape  | blank  |  0.3333333333333333 |    69   |    (69,)    |
| square | blank  | square |         0.2         |    70   |    (70,)    |
|  pall  |  pall  | blank  |         0.2         |    71   |    (71,)    |
|  tri   |  tri   | square |         0.2         |    72   |    (72,)    |
|  tri   |  tri   | prizm  | 0.14285714285714285 |    73   |    (73,)    |
| blank  |  tri   | square | 0.14285714285714285 |    74   |    (74,)    |
| prizm  | prizm  | blank  | 0.14285714285714285 |    75   |    (75,)    |
|  tri   | blank  | trape  |         0.2         |    76   |    (76,)    |
| prizm  | blank  | blank  |         0.2         |    77   |    (77,)    |
| prizm  |  pall  |  tri   |         0.2         |    78   |    (78,)    |
|  pall  |  tri   | prizm  |         0.2         |    79   |    (79,)    |
| square |  tri   |  tri   |         0.2         |    80   |    (80,)    |
| blank  | trape  | prizm  |         0.2         |    81   |    (81,)    |
| prizm  | trape  | square |  0.3333333333333333 |    82   |    (82,)    |
|  pall  | blank  | blank  |  0.3333333333333333 |    83   |    (83,)    |
|  pall  | blank  | trape  |         1.0         |    84   |    (84,)    |
| trape  |  tri   |  tri   |  0.3333333333333333 |    85   |    (85,)    |
|  pall  | square |  tri   |  0.3333333333333333 |    86   |    (86,)    |
|  tri   | trape  | square |  0.3333333333333333 |    87   |    (87,)    |
| square | square |  pall  |  0.3333333333333333 |    88   |    (88,)    |
| prizm  | blank  |  tri   |         1.0         |    89   |    (89,)    |
| trape  | trape  | blank  |  0.3333333333333333 |    90   |    (90,)    |
| blank  |  pall  |  pall  |  0.3333333333333333 |    91   |    (91,)    |
|  pall  | blank  |  pall  |         0.2         |    92   |    (92,)    |
| prizm  | trape  |  pall  |         0.2         |    93   |    (93,)    |
| prizm  |  pall  |  pall  |  0.3333333333333333 |    94   |    (94,)    |
| blank  | trape  |  pall  |  0.3333333333333333 |    95   |    (95,)    |
| square | trape  |  pall  |  0.3333333333333333 |    96   |    (96,)    |
|  tri   | prizm  | trape  |  0.3333333333333333 |    97   |    (97,)    |
| square | prizm  | blank  |         1.0         |    98   |    (98,)    |
| square | blank  | trape  |  0.3333333333333333 |    99   |    (99,)    |
| trape  |  pall  | prizm  |         0.2         |   100   |    (100,)   |
+--------+--------+--------+---------------------+---------+-------------+
