+--------+--------+--------+---------------------+---------+-------------+
| slot1  | slot2  | slot3  |       outcome       | created | occurrences |
+--------+--------+--------+---------------------+---------+-------------+
| blank  | blank  | prizm  |         0.2         |    1    |     (1,)    |
| prizm  |  tri   | trape  |         0.2         |    2    |     (2,)    |
| prizm  |  tri   | square | 0.14285714285714285 |    3    |     (3,)    |
|  tri   |  tri   |  tri   | 0.14285714285714285 |    4    |     (4,)    |
| square | square | square | 0.14285714285714285 |    5    |     (5,)    |
| square | trape  |  tri   |         0.2         |    6    |     (6,)    |
| square |  pall  | trape  |  0.3333333333333333 |    7    |     (7,)    |
| prizm  | prizm  | prizm  |  0.3333333333333333 |    8    |     (8,)    |
|  pall  | square |  pall  |  0.3333333333333333 |    9    |     (9,)    |
| blank  | blank  |  tri   |         0.2         |    10   |    (10,)    |
| trape  | trape  |  tri   | 0.14285714285714285 |    11   |    (11,)    |
|  pall  |  pall  | trape  |  0.1111111111111111 |    12   |    (12,)    |
| square | prizm  |  tri   | 0.14285714285714285 |    13   |    (13,)    |
| trape  | trape  | square |  0.1111111111111111 |    14   |    (14,)    |
| trape  | square | prizm  |  0.1111111111111111 |    15   |    (15,)    |
| prizm  | prizm  |  tri   | 0.09090909090909091 |    16   |    (16,)    |
| prizm  | square | square |  0.1111111111111111 |    17   |    (17,)    |
| prizm  | square |  tri   |  0.1111111111111111 |    18   |    (18,)    |
|  pall  |  tri   |  tri   |  0.1111111111111111 |    19   |    (19,)    |
|  pall  |  pall  | prizm  |  0.1111111111111111 |    20   |    (20,)    |
| blank  | prizm  | trape  |  0.1111111111111111 |    21   |    (21,)    |
| blank  |  pall  | blank  |  0.1111111111111111 |    22   |    (22,)    |
| square |  pall  | blank  |  0.1111111111111111 |    23   |    (23,)    |
| prizm  |  tri   |  tri   | 0.14285714285714285 |    24   |    (24,)    |
|  tri   |  pall  | trape  |  0.1111111111111111 |    25   |    (25,)    |
| trape  |  tri   | square |  0.1111111111111111 |    26   |    (26,)    |
|  tri   | square |  tri   |  0.1111111111111111 |    27   |    (27,)    |
|  pall  | blank  | prizm  |  0.1111111111111111 |    28   |    (28,)    |
|  pall  |  tri   | blank  |  0.1111111111111111 |    29   |    (29,)    |
|  pall  | prizm  | prizm  | 0.14285714285714285 |    30   |    (30,)    |
| prizm  | square | prizm  | 0.14285714285714285 |    31   |    (31,)    |
|  tri   | square |  pall  |         0.2         |    32   |    (32,)    |
|  tri   |  pall  |  tri   | 0.14285714285714285 |    33   |    (33,)    |
|  pall  | trape  |  tri   | 0.14285714285714285 |    34   |    (34,)    |
| square |  tri   | square | 0.14285714285714285 |    35   |    (35,)    |
| square | prizm  | trape  |         0.2         |    36   |    (36,)    |
| trape  | trape  | prizm  |         0.2         |    37   |    (37,)    |
| blank  | square |  pall  | 0.14285714285714285 |    38   |    (38,)    |
|  pall  | square | blank  | 0.14285714285714285 |    39   |    (39,)    |
| trape  |  pall  | blank  | 0.14285714285714285 |    40   |    (40,)    |
| blank  | blank  | blank  |         0.2         |    41   |    (41,)    |
| square | blank  |  pall  |         0.2         |    42   |    (42,)    |
|  tri   | prizm  | square |         0.2         |    43   |    (43,)    |
| trape  | prizm  |  tri   |  0.3333333333333333 |    44   |    (44,)    |
| trape  | square |  tri   |  0.3333333333333333 |    45   |    (45,)    |
| prizm  |  tri   | prizm  |         1.0         |    46   |    (46,)    |
| square | trape  | blank  |  0.3333333333333333 |    47   |    (47,)    |
| blank  | square | blank  |  0.3333333333333333 |    48   |    (48,)    |
| prizm  | prizm  | square |  0.3333333333333333 |    49   |    (49,)    |
| prizm  | trape  | prizm  |  0.3333333333333333 |    50   |    (50,)    |
|  pall  |  pall  |  tri   |         1.0         |    51   |    (51,)    |
| square |  tri   | trape  |  0.3333333333333333 |    52   |    (52,)    |
| blank  | square | square |         1.0         |    53   |    (53,)    |
| trape  | prizm  | trape  |  0.3333333333333333 |    54   |    (54,)    |
| trape  | square | square |         0.2         |    55   |    (55,)    |
| prizm  |  tri   |  pall  |         0.2         |    56   |    (56,)    |
| square |  tri   |  pall  |         0.2         |    57   |    (57,)    |
|  tri   |  pall  | blank  |  0.3333333333333333 |    58   |    (58,)    |
|  tri   | prizm  |  pall  |         0.2         |    59   |    (59,)    |
| prizm  | square |  pall  |  0.3333333333333333 |    60   |    (60,)    |
